codigo_venda,data,total
22457,"2018-09-04 12:33:19",57.85
22500,"2018-09-04 12:36:47",44.89
22522,"2018-09-04 12:39:20",44.89
22566,"2018-09-04 12:44:32",57.85
22598,"2018-09-04 12:47:48",102.74
22631,"2018-09-04 12:51:14",56.36
22713,"2018-09-04 13:00:23",177.74
22729,"2018-09-04 13:01:21",101.25
22964,"2018-09-04 13:26:01",62.04
22976,"2018-09-04 13:27:46",101.25
22982,"2018-09-04 13:28:42",54.79
23051,"2018-09-04 13:36:05",57.85
23147,"2018-09-04 13:45:40",57.85
23180,"2018-09-04 13:48:45",56.36
23189,"2018-09-04 13:49:20",57.85
23213,"2018-09-04 13:51:35",56.36
23522,"2018-09-04 14:18:45",57.85
23526,"2018-09-04 14:18:56",54.79
23569,"2018-09-04 14:22:17",57.85
23622,"2018-09-04 14:26:59",44.89
23649,"2018-09-04 14:28:41",56.36
23714,"2018-09-04 14:33:44",56.36
23744,"2018-09-04 14:36:24",62.04
23752,"2018-09-04 14:37:21",57.85
23770,"2018-09-04 14:39:17",57.85
23812,"2018-09-04 14:43:14",106.93
23826,"2018-09-04 14:44:29",115.7
23855,"2018-09-04 14:46:49",101.25
23894,"2018-09-04 14:50:42",57.85
23932,"2018-09-04 14:53:59",44.89
23971,"2018-09-04 14:58:00",174.68
24183,"2018-09-04 15:20:15",146.14
24192,"2018-09-04 15:20:56",225.36
24375,"2018-09-04 15:40:18",101.25
24493,"2018-09-04 15:52:39",124.08
24542,"2018-09-04 15:56:56",54.79
24587,"2018-09-04 16:02:44",114.21
24595,"2018-09-04 16:03:47",115.7
24650,"2018-09-04 16:11:27",57.85
24671,"2018-09-04 16:14:59",101.25
24684,"2018-09-04 16:16:35",99.68
24957,"2018-09-04 16:52:49",44.89
24984,"2018-09-04 16:55:36",111.15
25232,"2018-09-04 17:24:10",114.21
25317,"2018-09-04 17:36:14",62.04
25320,"2018-09-04 17:36:32",57.85
25414,"2018-09-04 17:48:58",124.08
25445,"2018-09-04 17:52:35",119.89
25494,"2018-09-04 17:58:23",202.42
25557,"2018-09-04 18:06:52",449.56
25631,"2018-09-04 18:16:47",124.08
25669,"2018-09-04 18:21:33",56.36
25700,"2018-09-04 18:25:44",57.85
25712,"2018-09-04 18:26:42",89.78
25852,"2018-09-04 18:43:08",44.89
25903,"2018-09-04 18:48:17",54.79
25939,"2018-09-04 18:51:33",44.89
25976,"2018-09-04 18:54:49",56.36
26109,"2018-09-04 19:11:01",44.89
26123,"2018-09-04 19:11:44",57.85
26236,"2018-09-04 19:22:40",54.79
26277,"2018-09-04 19:26:09",62.04
26351,"2018-09-04 19:33:19",57.85
26387,"2018-09-04 19:36:18",56.36
26486,"2018-09-04 19:45:36",57.85
26520,"2018-09-04 19:49:39",44.89
26715,"2018-09-04 20:08:46",44.89
26720,"2018-09-04 20:09:09",56.36
26787,"2018-09-04 20:18:11",62.04
26837,"2018-09-04 20:21:42",109.58
26845,"2018-09-04 20:22:06",54.79
26859,"2018-09-04 20:23:12",106.93
26891,"2018-09-04 20:27:07",114.21
26948,"2018-09-04 20:31:23",57.85
27012,"2018-09-04 20:38:34",112.72
27009,"2018-09-04 20:38:34",56.36
27018,"2018-09-04 20:39:22",62.04
27127,"2018-09-04 20:48:02",44.89
27182,"2018-09-04 20:52:16",62.04
27194,"2018-09-04 20:53:32",56.36
27226,"2018-09-04 20:57:09",54.79
27231,"2018-09-04 20:57:50",54.79
